experiment,step,epoch,token_avg_loss,loss,eval_loss,grad_norm,learning_rate
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,790,0.08189498781941637,0.4807,1.8071,,0.8335652947425842,0.0001997184965639571
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,800,0.08293163323485202,0.6281,1.9822,,0.7023150324821472,0.000199710269879529
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,810,0.08396827865028766,0.568,1.9376,,0.7006340622901917,0.00019970192488577904
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,820,0.08500492406572333,0.5507,1.8592,,0.7141260504722595,0.00019969346159260875
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,830,0.08604156948115897,0.5265,2.0219,,0.7155256271362305,0.00019968488001006018
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,840,0.08707821489659462,0.475,1.8624,,0.9267891645431519,0.0001996761801483156
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,850,0.08811486031203027,0.5808,1.8863,,0.7530514001846313,0.00019966736201769764
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,860,0.08915150572746593,0.5466,2.0027,,0.6936579942703247,0.00019965842562866932
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,870,0.09018815114290157,0.4981,1.8239,,0.865389347076416,0.0001996493709918339
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,880,0.09122479655833722,0.5309,1.9505,,0.6569825410842896,0.00019964019811793504
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,890,0.09226144197377287,0.5515,1.9227,,0.9475608468055725,0.0001996309070178566
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,900,0.09329808738920851,0.501,1.8612,,0.6945027112960815,0.00019962149770262277
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,910,0.09433473280464418,0.4725,2.0147,,0.7207450270652771,0.000199611970183398
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,920,0.09537137822007982,0.5113,1.8011,,0.7303964495658875,0.00019960232447148698
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,930,0.09640802363551547,0.5743,1.9352,,0.7189365029335022,0.00019959256057833468
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,940,0.09744466905095112,0.564,1.9573,,1.0661983489990234,0.0001995826785155262
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,950,0.09848131446638678,0.509,1.8217,,0.8795206546783447,0.00019957267829478695
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,960,0.09951795988182242,0.495,1.9686,,0.5997219085693359,0.0001995625599279825
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,970,0.10055460529725807,0.5023,1.7828,,0.7824118733406067,0.00019955232342711856
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,980,0.10159125071269372,0.5242,1.86,,0.7362295985221863,0.00019954196880434113
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,990,0.10262789612812938,0.5243,1.9206,,0.6840612292289734,0.00019953149607193624
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1000,0.10366454154356503,0.5371,1.7712,,0.7092055082321167,0.00019952090524233014
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1000,0.10366454154356503,0.6482,,0.4988367557525635,,
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1010,0.10470118695900067,0.4901,1.915,,0.6061840653419495,0.00019951019632808917
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1020,0.10573783237443632,0.6172,1.8719,,0.7199432849884033,0.00019949936934191977
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1030,0.10677447778987198,0.5073,1.7997,,0.6785241365432739,0.0001994884242966685
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1040,0.10781112320530763,0.5374,1.9253,,0.6107747554779053,0.00019947736120532201
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1050,0.10884776862074327,0.5537,1.8137,,1.0984818935394287,0.000199466180081007
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1060,0.10988441403617892,0.5532,1.9318,,0.7486489415168762,0.0001994548809369902
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1070,0.11092105945161458,0.5995,1.8903,,0.7648125886917114,0.0001994434637866784
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1080,0.11195770486705023,0.5136,1.7595,,0.7651745676994324,0.0001994319286436184
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1090,0.11299435028248588,0.5054,1.9022,,0.5954151749610901,0.00019942027552149704
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1100,0.11403099569792152,0.57,1.8466,,0.7044882774353027,0.00019940850443414106
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1110,0.11506764111335718,0.4479,1.7724,,0.5729681253433228,0.00019939661539551727
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1120,0.11610428652879283,0.5073,1.7996,,0.6768608689308167,0.00019938460841973233
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1130,0.11714093194422848,0.4837,1.761,,0.7756224870681763,0.00019937248352103293
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1140,0.11817757735966412,0.469,1.8572,,0.6606464982032776,0.0001993602407138056
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1150,0.11921422277509977,0.5218,1.8256,,1.217366099357605,0.00019934788001257686
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1160,0.12025086819053543,0.5191,1.739,,0.8416107892990112,0.00019933540143201299
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1170,0.12128751360597108,0.5272,1.9158,,0.5926351547241211,0.0001993228049869203
sft_esm3_mlp_combined_qwen3_8b_it_0306_010408,1180,0.12232415902140673,0.5528,1.785,,0.7487099766731262,0.00019931009069224477
